division,district,upazila,post_office,postal_code,source_url
Chattogram,Chandpur,Faridgonj,Isalampur Shah Yasin Senior Madrasa SO,3655,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Faridgonj,Rampur EDSO,3654,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Faridgonj,Rupsha SO,3652,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Haimchar,Gandamara SO,3661,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Haimchar,Haimchar UPO,3660,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Hajiganj,Balakhal SO,3611,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Hajiganj,Hajigonj UPO,3610,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Kachua,Kachua UPO,3630,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Kachua,Paksrirampur EDSO,3631,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Kachua,Rahima Nagar SO,3632,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Kachua,Sachar SO,3633,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Matlab North,,,
Chattogram,Chandpur,Matlab South,,,
Chattogram,Chandpur,Shahrasti,Chitoshi SO,3623,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Shahrasti,Khila Bazar EDSO,3621,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Shahrasti,Shahrasti UPO,3620,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Shahrasti,West Kherihar Alzamia Islamia Madrasa SO,3622,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chattogram,Akbar Shah,,,
Chattogram,Chattogram,Anwara,Anowara UPO,4376,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Battali EDSO,4378,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Boaliya EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Boirag EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Borumchara EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Chunnapara EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Dovashirhat EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,East Baria EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Haildhar EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Jhiuri EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Koinpiura EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Malghar Bazar EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Minnat Ali Hat EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Mohalkhan Bazar EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Paraikora EDSO,4377,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Patnikota EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Pirkhain EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Shattarhat EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Tekota EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Toilardwip EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Anwara,Ushkhain EDBO,,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Bakalia,,,
Chattogram,Chattogram,Bandar,,,
Chattogram,Chattogram,Banshkhali,Banigram SO,4393,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Banshkhali,Gunagari EDSO,4392,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
Chattogram,Chattogram,Banshkhali,Jaldi (Bashkhali) UPO,4390,https://bdpost.gov.bd/pages/static-pages/6922df21933eb65569e2011d
