division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Mymensingh,Sherpur,Nakla,manual_review,,,Nokla,0.800,Nalitabari,0.533,Jhenaigati,0.400
Khulna,Satkhira,Ashashuni,manual_review,,,Assasuni,0.824,Shyamnagar,0.421,Kaliganj,0.353
Khulna,Satkhira,Kaligonj,safe_candidate,Kaliganj,normalized_alias,Kaliganj,1.000,Kalaroa,0.533,Tala,0.500
Khulna,Satkhira,Kolaroa,manual_review,,,Kalaroa,0.857,Kaliganj,0.400,Tala,0.364
Rajshahi,Sirajganj,Dhangarha (Roygonj),manual_review,,,Raigonj,0.435,Salanga,0.348,Chauhali,0.333
Sylhet,Sylhet,Balagonj,safe_candidate,Balaganj,normalized_alias,Balaganj,1.000,Golapganj,0.706,Zakiganj,0.625
Sylhet,Sylhet,Companigonj Nutun Bazar (Companigonj),safe_candidate,Companiganj,parenthetical_high_confidence,Companiganj,0.512,Beanibazar,0.381,Osmaninagar,0.372
Sylhet,Sylhet,Jakigonj,manual_review,,,Zakiganj,0.875,Companiganj,0.632,Balaganj,0.625
Sylhet,Sunamganj,Dirai Chandpur (Dirai),manual_review,,,Jagannathpur,0.400,Tahirpur,0.385,Derai,0.348
Sylhet,Sunamganj,Duara Bazar,manual_review,,,Dowarabazar,0.857,Dharmapasha,0.571,Derai,0.400
Sylhet,Sunamganj,Ghunghiargaon (Sallah),safe_candidate,Shalla,parenthetical_high_confidence,South Sunamganj,0.424,Dharmapasha,0.400,Shalla,0.400
Sylhet,Sunamganj,Jaganhpur,manual_review,,,Jagannathpur,0.857,Tahirpur,0.588,Jamalganj,0.556
Sylhet,Sunamganj,Sanchana (Jamalgonj),safe_candidate,Jamalganj,parenthetical_high_confidence,Jamalganj,0.692,South Sunamganj,0.581,Sunamganj Sadar,0.516
Sylhet,Habiganj,Azmirigonj,safe_candidate,Ajmiriganj,second_pass_similarity:0.900;margin:0.233,Ajmiriganj,0.900,Nabiganj,0.667,Habiganj Sadar,0.522
Sylhet,Habiganj,Kalauk,manual_review,,,Lakhai,0.500,Madhabpur,0.400,Bahubal,0.308
Sylhet,Habiganj,Nabigonj,safe_candidate,Nabiganj,normalized_alias,Nabiganj,1.000,Ajmiriganj,0.667,Habiganj Sadar,0.667
