source_division,source_district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,best_same_district_upazila,best_same_district_score,global_1_division,global_1_district,global_1_upazila,global_1_score,global_2_division,global_2_district,global_2_upazila,global_2_score,global_3_division,global_3_district,global_3_upazila,global_3_score,classification_hint
Rajshahi,Pabna,Debattar (Afgaria),1,1,Debattar (Afgaria) UPO,6610,Atghoria,0.522,Dhaka,Dhaka,Jatrabari,0.583,Dhaka,Dhaka,Bhatara,0.545,Khulna,Satkhira,Debhata,0.545,legacy_or_special
Rajshahi,Pabna,Iswardi,4,4,Iswardi UPO | Dapari EDSO | Pakshi SO | Rajapur Hat SO,6620 | 6621 | 6622 | 6623,Ishurdi,0.714,Dhaka,Dhaka,Wari,0.727,Rajshahi,Pabna,Ishurdi,0.714,Mymensingh,Mymensingh,Iswarganj,0.625,same_district_likely
Barisal,Pirojpur,Banaripara,2,2,Banaripara UPO | Chakher SO,8530 | 8531,Bhandaria,0.737,Barisal,Barisal,Banaripara,1.000,Rajshahi,Natore,Bagatipara,0.800,Barisal,Pirojpur,Bhandaria,0.737,possible_cross_district
Barisal,Pirojpur,Kaukhali,4,4,Kaukhali UPO | Keondia EDSO | Joykul EDSO | Julagati EDSO,8510 | 8511 | 8512 | 8513,Kawkhali,0.875,Dhaka,Rajbari,Kalukhali,0.941,Barisal,Pirojpur,Kawkhali,0.875,Chattogram,Rangamati,Kawkhali,0.875,same_district_likely
Barisal,Pirojpur,Swarupkati,4,4,Swarupkati UPO | Darus Sunnat SO | Kaurikhara SO | Jalabari SO,8520 | 8521 | 8522 | 8523,Indurkani,0.421,Barisal,Barisal,Rupatali,0.667,Chattogram,Chandpur,Shahrasti,0.632,Chattogram,Brahmanbaria,Sarail,0.625,legacy_or_special
Rajshahi,Bogura,Dunat,2,2,Dunat UPO | Gosaibari EDSO,5850 | 5851,Dhunot,0.727,Rajshahi,Bogura,Dhunot,0.727,Khulna,Kushtia,Daulatpur,0.571,Khulna,Khulna,Daulatpur,0.571,same_district_likely
Rajshahi,Bogura,Gabtoli,2,2,Gabtoli UPO | Sukhanpukur SO,5820 | 5821,Gabtali,0.857,Rajshahi,Bogura,Gabtali,0.857,Barisal,Patuakhali,Rangabali,0.625,Barisal,Barguna,Amtali,0.615,same_district_likely
Rajshahi,Bogura,Kahalu,1,1,Kahalu UPO,5870,Kahaloo,0.769,Rajshahi,Bogura,Kahaloo,0.769,Rangpur,Dinajpur,Kaharol,0.769,Barisal,Jhalakathi,Kathalia,0.714,same_district_likely
Rajshahi,Bogura,Sonatola,1,1,Sonatola UPO,5826,Sonatala,0.875,Rajshahi,Bogura,Sonatala,0.875,Chattogram,Feni,Sonagazi,0.625,Khulna,Khulna,Sonadanga,0.588,same_district_likely
Barisal,Barisal,Barjalia (Hijla),2,2,Barjalia (Hijla) UPo | Osman Manjil SO,8260 | 8261,Barisal Sadar,0.560,Rajshahi,Naogaon,Badalgachi,0.609,Chattogram,Chattogram,Bakalia,0.600,Barisal,Barisal,Barisal Sadar,0.560,legacy_or_special
Barisal,Barisal,Uzirpur,4,4,Uzirpur UPO | Dhamura SO | Jugirkanda SO | Sikarpur SO,8220 | 8221 | 8222 | 8223,Wazirpur,0.800,Barisal,Pirojpur,Nazirpur,0.800,Barisal,Barisal,Wazirpur,0.800,Dhaka,Dhaka,Mirpur,0.769,same_district_likely
Khulna,Bagerhat,Chalna Anchorange,2,2,Chalna Anchorange UPO | Mongla Port SO,9350 | 9351,Chitalmari,0.462,Sylhet,Habiganj,Baniachong,0.538,Khulna,Khulna,Labanchara,0.538,Rajshahi,Bogura,Dupchanchia,0.519,legacy_or_special
Chattogram,Brahmanbaria,Quasba,5,5,Quasba UPO | Kuti SO | Chandiwar | Chargas SO | Gupinathpur SO,3460 | 3461 | 3462 | 3463 | 3464,Kasba,0.727,Chattogram,Brahmanbaria,Kasba,0.727,Rajshahi,Rajshahi,Paba,0.600,Dhaka,Tangail,Basail,0.500,same_district_likely
Dhaka,Madaripur,Rajair,2,2,Rajair UPO | Khalia SO,7910 | 7911,Rajoir,0.833,Dhaka,Madaripur,Rajoir,0.833,Barisal,Jhalakathi,Rajapur,0.769,Rajshahi,Rajshahi,Rajpara,0.769,same_district_likely
Dhaka,Manikganj,Shibalaya,13,4,Shibalaya UPO | Amdala | Baghutiya | Khalshi | Nali | Noyabari | Jafarganj | Rupshi,1850 | 1851 | 1852 | 1853,Shibaloy,0.824,Dhaka,Manikganj,Shibaloy,0.824,Sylhet,Sunamganj,Shalla,0.667,Rajshahi,Sirajganj,Salanga,0.625,same_district_likely
Dhaka,Manikganj,Singair,15,3,Singair UPO | Dholla Bazar | Charigram | Golardanga | Dokkhin Jamsha | Paril Nowarda | Choto Kaliakair | Boldhara,1820 | 1821 | 1822,Singiar,0.857,Dhaka,Manikganj,Singiar,0.857,Rajshahi,Natore,Singra,0.769,Chattogram,Brahmanbaria,Nasirnagar,0.706,same_district_likely
Dhaka,Munshiganj,Gazaria,16,3,Gazaria UPO | Rasulpur | Hosendi | Voberchar | BK Raypura | Baosia | Char Bolaki | Goagasia,1510 | 1511 | 1512,Gajaria,0.857,Dhaka,Munshiganj,Gajaria,0.857,Dhaka,Dhaka,Hazaribagh,0.706,Chattogram,Cox's Bazar,Chakaria,0.667,same_district_likely
Dhaka,Munshiganj,Louhajong,29,6,Louhajong UPO | Gawraganj | Haridia | Korhati | Medinimondol | Nagerhat | Kalma | Vorakor,1530 | 1531 | 1532 | 1533 | 1534 | 1535,Louhajanj,0.778,Dhaka,Munshiganj,Louhajanj,0.778,Barisal,Bhola,Lalmohan,0.588,Chattogram,Chattogram,Lohagara,0.588,same_district_likely
Sylhet,Moulvibazar,Kamalgonj,5,5,Kamalgonj UPO | Keramotnagar Bhanugach SO | Patrakhula SO | Samsher Nagar SO | Munshi Bazar SO,3220 | 3221 | 3222 | 3223 | 3224,Kamolganj,0.889,Sylhet,Sunamganj,Jamalganj,0.889,Sylhet,Moulvibazar,Kamolganj,0.889,Khulna,Jhenaidah,Kaliganj,0.824,same_district_likely
Khulna,Jashore,Bagarpara,2,2,Bagarpara UPo | Gour Nagar EDSO,7470 | 7471,Bagherpara,0.842,Rajshahi,Natore,Bagatipara,0.842,Khulna,Jashore,Bagherpara,0.842,Barisal,Barisal,Banaripara,0.842,same_district_likely
Khulna,Jashore,Chawgacha,1,1,Chawgacha UPO,7410,Chougachha,0.737,Khulna,Jashore,Chougachha,0.737,Dhaka,Gazipur,Gacha,0.714,Rajshahi,Rajshahi,Charghat,0.706,same_district_likely
