district_label_bn,source_upazila,post_office_en,post_office_bn,postal_code,source_postal_code_raw,serial,source_url
ঢাকা পোস্ট কোড,Demra,Purbagram,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Demra,Tarab,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Demra,Jatramura,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Demra,Paradgair,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Demra,Sarulia SO,,1361,,51,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Demra,Sanarpar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kodomtoli,Kodomtoli UPO,,1362,,52,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kodomtoli,Matuail SO,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kodomtoli,Tushardhara,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kodomtoli,Merajnagar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kodomtoli,Habibnagar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
নারায়নগঞ্জ পোস্ট কোড,Sadar,Narayangonj HO,,1400,,1,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Barabo,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Madanpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Lakkhankhola,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Sabdibazar,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Mogolergaon,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Hosenpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Barpara,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Sadar,Monarbari,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Bandar,Bandar UPO,,1410,,2,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Bandar,Nabiganj,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Bandar,Puran Bandar,,,,,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Bandar,DC Mills SO,,1411,,3,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Bandar,Nabigonj EDSO,,1412,,4,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Bandar,BIDC SO,,1413,,5,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
নারায়নগঞ্জ পোস্ট কোড,Bandar,Madangonj SO,,1414,,6,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
