division,district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Dhaka,Manikganj,Singair,15,3,Singair UPO | Dholla Bazar | Charigram | Golardanga | Dokkhin Jamsha | Paril Nowarda | Choto Kaliakair | Boldhara,1820 | 1821 | 1822,Singiar,0.857,Saturia,0.429,Shibaloy,0.400
Dhaka,Munshiganj,Gazaria,16,3,Gazaria UPO | Rasulpur | Hosendi | Voberchar | BK Raypura | Baosia | Char Bolaki | Goagasia,1510 | 1511 | 1512,Gajaria,0.857,Tongibari,0.500,Sreenagar,0.375
Dhaka,Munshiganj,Louhajong,29,6,Louhajong UPO | Gawraganj | Haridia | Korhati | Medinimondol | Nagerhat | Kalma | Vorakor,1530 | 1531 | 1532 | 1533 | 1534 | 1535,Louhajanj,0.778,Munshiganj Sadar,0.333,Tongibari,0.333
Sylhet,Moulvibazar,Kamalgonj,5,5,Kamalgonj UPO | Keramotnagar Bhanugach SO | Patrakhula SO | Samsher Nagar SO | Munshi Bazar SO,3220 | 3221 | 3222 | 3223 | 3224,Kamolganj,0.889,Rajnagar,0.471,Sreemangal,0.421
Khulna,Jashore,Bagarpara,2,2,Bagarpara UPo | Gour Nagar EDSO,7470 | 7471,Bagherpara,0.842,Abhaynagar,0.526,Jhikargacha,0.400
Khulna,Jashore,Chawgacha,1,1,Chawgacha UPO,7410,Chougachha,0.737,Jhikargacha,0.700,Sharsha,0.500
Rangpur,Rangpur,Kaonia,2,2,Kaonia UPO | Haragacha SO,5440 | 5441,Kaunia,0.833,Hajirhat,0.429,Gangachara,0.375
Chattogram,Rangamati,Jarachari,1,1,Jarachari UPO,4560,Juraichari,0.857,Baghaichari,0.727,Belaichari,0.667
Chattogram,Rangamati,Longdu,1,1,Longdu UPO,4580,Langadu,0.769,Rangamati Sadar,0.300,Chandroghona,0.222
Chattogram,Rangamati,Marishya (Bagaichari),1,1,Marishya (Bagaichari) UPO,4590,Baghaichari,0.710,Belaichari,0.600,Juraichari,0.600
Dhaka,Rajbari,Goalondo,2,2,Goalondo UPO | Khankhanapur SO,7710 | 7711,Goalanda,0.750,Baliakandi,0.444,Pangsa,0.286
Rajshahi,Rajshahi,Lalitgonj,4,4,Lalitgonj UPO | Rakshahi Sugar Mills SO | Shyampur EDSO | Naohata Bazar SO,6210 | 6211 | 6212 | 6213,Boalia,0.533,Bagha,0.429,Kasiadanga,0.421
Chattogram,Lakshmipur,Char Alexander (Rangamati),3,3,Char Alexander (Rangamati) UPO | Hajeer Hat SO | Ramgatir Hat SO,3730 | 3731 | 3732,Ramgati,0.414,Ramganj,0.276,Raipur,0.214
Chattogram,Lakshmipur,Roypur,5,5,Roypur UPO | Rakhalia Bazar SO | Nager Dighir Par SO | Haidergonj SO | Bhua Bari EDSO,3710 | 3711 | 3712 | 3713 | 3714,Raipur,0.667,Lakshmipur Sadar,0.286,Ramganj,0.154
Rangpur,Lalmonirhat,Tushbhanader,1,1,Tushbhanader UPO,5520,Hatibandha,0.364,Lalmonirhat Sadar,0.357,Aditmari,0.300
Dhaka,Shariatpur,Demuday,1,1,Demuday UPO,8040,Damudya,0.714,Bhedarganj,0.353,Shariatpur Sadar,0.273
Dhaka,Shariatpur,Jangira,1,1,Jangira UPO,8010,Zajira,0.615,Gosairhat,0.500,Naria,0.500
Mymensingh,Sherpur,Bakshigonj,1,1,Bakshigonj,2140,Jhenaigati,0.400,Nalitabari,0.300,Sherpur Sadar,0.273
Mymensingh,Sherpur,Nakla,2,2,Nakla UPO | Ganapaddi SO,2150 | 2151,Nokla,0.800,Nalitabari,0.533,Jhenaigati,0.400
Khulna,Satkhira,Ashashuni,2,2,Ashashuni UPO | Bardal SO,9460 | 9461,Assasuni,0.824,Shyamnagar,0.421,Kaliganj,0.353
Khulna,Satkhira,Kolaroa,6,6,Kolaroa UPO | Murarikati EDSO | Jhaodanga EDSO | Hamidpur EDSO | Khordu EDSO | Chandanpur EDSO,9410 | 9411 | 9412 | 9413 | 9414 | 9415,Kalaroa,0.857,Kaliganj,0.400,Tala,0.364
Rajshahi,Sirajganj,Dhangarha (Roygonj),2,2,Dhangarha (Roygonj) UPO | Malunga SO,6720 | 6721,Raigonj,0.435,Salanga,0.348,Chauhali,0.333
Sylhet,Sylhet,Jakigonj,2,2,Jakigonj UPO | Ishamati SO,3190 | 3191,Zakiganj,0.875,Companiganj,0.632,Balaganj,0.625
Sylhet,Sunamganj,Dirai Chandpur (Dirai),2,2,Dirai Chandpur (Dirai) UPO | Jagadal EDSO,3040 | 3041,Jagannathpur,0.400,Tahirpur,0.385,Derai,0.348
Sylhet,Sunamganj,Duara Bazar,1,1,Duara Bazar UPO,3070,Dowarabazar,0.857,Dharmapasha,0.571,Derai,0.400
Sylhet,Sunamganj,Jaganhpur,6,6,Jaganhpur UPO | Syedpur SO | Atuajan Barkapan SO | Hasan Fatemapur SO | Rasugonj SO | Sreeramsi SO,3060 | 3061 | 3062 | 3063 | 3064 | 3065,Jagannathpur,0.857,Tahirpur,0.588,Jamalganj,0.556
Sylhet,Habiganj,Kalauk,2,2,Kalauk UPO | Lakhai SO,3340 | 3341,Lakhai,0.500,Madhabpur,0.400,Bahubal,0.308
