district_label_bn,division,district,source_upazila,match_type,matched_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Matlabgonj (Matlab),review,,Matlab South,0.593,Matlab North,0.593,Faridgonj,0.400
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Sadar,review,,Chandpur Sadar,0.556,Haimchar,0.462,Shahrasti,0.429
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Shahrasti,exact,Shahrasti,Shahrasti,1.000,Haimchar,0.471,Chandpur Sadar,0.364
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Bholahat,exact,Bholahat,Bholahat,1.000,Nachol,0.429,Shibganj,0.250
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Nachul,review,,Nachol,0.833,Bholahat,0.286,Gomostapur,0.250
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Rohanpur (Gomostapur),parenthetical,Gomostapur,Gomostapur,0.714,Bholahat,0.308,Shibganj,0.231
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Sadar,review,,Gomostapur,0.400,Chapainawabganj Sadar,0.400,Shibganj,0.308
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Shibgonj,review,,Shibganj,0.875,Chapainawabganj Sadar,0.429,Nachol,0.286
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Alamdanga,exact,Alamdanga,Alamdanga,1.000,Chuadanga Sadar,0.522,Damurhuda,0.444
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Damurhuda,exact,Damurhuda,Damurhuda,1.000,Chuadanga Sadar,0.348,Alamdanga,0.333
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Daulagonj (Jibannagar),parenthetical,Jibannagar,Jibannagar,0.690,Chuadanga Sadar,0.364,Alamdanga,0.357
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Sadar,review,,Chuadanga Sadar,0.526,Damurhuda,0.429,Alamdanga,0.429
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Dewangonj,exact,Dewangonj,Dewangonj,1.000,Madarganj,0.444,Melandah,0.353
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Islampur,exact,Islampur,Islampur,1.000,Jamalpur Sadar,0.476,Sarishabari,0.421
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Madargonj,review,,Madarganj,0.889,Dewangonj,0.556,Melandah,0.471
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Melandah,exact,Melandah,Melandah,1.000,Jamalpur Sadar,0.476,Madarganj,0.353
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Sadar,review,,Madarganj,0.571,Jamalpur Sadar,0.556,Sarishabari,0.500
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Sarishabari,exact,Sarishabari,Sarishabari,1.000,Islampur,0.421,Jamalpur Sadar,0.333
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Akkelpur,exact,Akkelpur,Akkelpur,1.000,Kalai,0.308,Joypurhat Sadar,0.273
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Ghoramara,review,,Joypurhat Sadar,0.348,Kalai,0.286,Khetlal,0.250
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Kalai,exact,Kalai,Kalai,1.000,Khetlal,0.500,Akkelpur,0.308
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Khetal,review,,Khetlal,0.923,Kalai,0.545,Akkelpur,0.429
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Panchbibi,exact,Panchbibi,Panchbibi,1.000,Kalai,0.286,Joypurhat Sadar,0.174
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Sadar,review,,Joypurhat Sadar,0.526,Kalai,0.400,Akkelpur,0.308
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Kathalia,exact,Kathalia,Kathalia,1.000,Jhalakathi Sadar,0.522,Nalchity,0.375
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Nalchiti,review,,Nalchity,0.875,Kathalia,0.375,Jhalakathi Sadar,0.348
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Rajapur,exact,Rajapur,Rajapur,1.000,Kathalia,0.267,Nalchity,0.133
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Sadar,review,,Rajapur,0.500,Jhalakathi Sadar,0.500,Kathalia,0.308
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Court Chandpur,review,,Kotchandpur,0.833,Moheshpur,0.455,Harinakundu,0.417
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Harina Kunda,review,,Harinakundu,0.909,Shailkupa,0.600,Kotchandpur,0.364
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Maheshpur,review,,Moheshpur,0.889,Kotchandpur,0.400,Jhenaidah Sadar,0.348
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Naldanga (Kaligonj),review,,Kaliganj,0.583,Jhenaidah Sadar,0.400,Shailkupa,0.240
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Sadar,review,,Jhenaidah Sadar,0.526,Shailkupa,0.429,Kotchandpur,0.375
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Shailakupa,review,,Shailkupa,0.947,Harinakundu,0.571,Jhenaidah Sadar,0.417
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Basail,exact,Basail,Basail,1.000,Ghatail,0.615,Tangail Sadar,0.444
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Bhuapur,exact,Bhuapur,Bhuapur,1.000,Madhupur,0.667,Sakhipur,0.533
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Deldoar,review,,Delduar,0.857,Dhanbari,0.400,Tangail Sadar,0.316
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Ghatail,exact,Ghatail,Ghatail,1.000,Basail,0.615,Kalihati,0.533
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Gopalpur,exact,Gopalpur,Gopalpur,1.000,Nagarpur,0.625,Bhuapur,0.533
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Kalihati,exact,Kalihati,Kalihati,1.000,Ghatail,0.533,Dhanbari,0.375
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Khas Kaolia,review,,Basail,0.500,Ghatail,0.471,Kalihati,0.444
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Madhupur,exact,Madhupur,Madhupur,1.000,Bhuapur,0.667,Sakhipur,0.625
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Mirzapur,exact,Mirzapur,Mirzapur,1.000,Madhupur,0.625,Bhuapur,0.533
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Nagarpur,exact,Nagarpur,Nagarpur,1.000,Bhuapur,0.533,Sakhipur,0.500
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Sadar,review,,Tangail Sadar,0.588,Delduar,0.500,Sakhipur,0.462
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Shakhipur,review,,Sakhipur,0.941,Bhuapur,0.625,Nagarpur,0.471
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Baliadangi,exact,Baliadangi,Baliadangi,1.000,Pirganj,0.353,Thakurgaon Sadar,0.320
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Jibanpur,review,,Haripur,0.533,Pirganj,0.400,Baliadangi,0.333
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Pirgonj,review,,Pirganj,0.857,Thakurgaon Sadar,0.364,Haripur,0.286
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Rani Shakail,review,,Ranisankail,0.909,Pirganj,0.333,Haripur,0.333
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Sadar,review,,Thakurgaon Sadar,0.500,Baliadangi,0.400,Ranisankail,0.375
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Banani,exact,Banani,Banani,1.000,Bangshal,0.571,Ramna,0.545
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dania,review,,Gendaria,0.615,Ramna,0.600,Dhanmondi,0.571
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Demra,exact,Demra,Demra,1.000,Dhamrai,0.667,Gendaria,0.462
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhaka Sadar,review,,Chak Bazar,0.632,Savar,0.533,Dohar,0.533
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhaka Sadr,review,,Chak Bazar,0.667,Dohar,0.571,Mohammadpur,0.500
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhamrai,exact,Dhamrai,Dhamrai,1.000,Dohar,0.667,Demra,0.667
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhanmondi,exact,Dhanmondi,Dhanmondi,1.000,Dhamrai,0.625,Banani,0.533
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Gulshan,exact,Gulshan,Gulshan,1.000,Bangshal,0.533,Uttar Khan,0.500
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Joypara (Dohar),parenthetical,Dohar,Dohar,0.588,Kamrangir Char,0.480,Adabor,0.444
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Kamrangirchar,normalized,Kamrangir Char,Kamrangir Char,1.000,Keraniganj,0.522,Dhamrai,0.500
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Keranigonj,review,,Keraniganj,0.900,Keraniganj (South),0.720,Tejgaon,0.471
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Khilgaon,exact,Khilgaon,Khilgaon,1.000,Kalabagan,0.588,Keraniganj,0.556
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Khilkhet,exact,Khilkhet,Khilkhet,1.000,Khilgaon,0.500,Hatirjheel,0.444
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Kochukhet,review,,Khilkhet,0.706,Dakshinkhan,0.400,Kotwali,0.375
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Kodomtoli,review,,Kadamtali,0.667,Kotwali,0.625,Dhamrai,0.375
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Lalmati,review,,Lalbagh,0.571,Dhamrai,0.571,Ramna,0.500
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Mirpur,exact,Mirpur,Mirpur,1.000,Rampura,0.615,Sutrapur,0.571
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Mohammadpur,exact,Mohammadpur,Mohammadpur,1.000,Shyampur,0.632,Rampura,0.556
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Motijheel,exact,Motijheel,Motijheel,1.000,Hatirjheel,0.737,Kotwali,0.375
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Nawabgonj,review,,Nawabganj,0.889,Kalabagan,0.556,Adabor,0.533
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Nilkhet,review,,Khilkhet,0.800,New Market,0.500,Motijheel,0.375
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Savar,exact,Savar,Savar,1.000,Adabor,0.545,Shah Ali,0.500
