division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Rajshahi,Bogura,Gabtoli,manual_review,,,Gabtali,0.857,Sonatala,0.400,Kahaloo,0.286
Rajshahi,Bogura,Kahalu,manual_review,,,Kahaloo,0.769,Shajahanpur,0.471,Gabtali,0.462
Rajshahi,Bogura,Nandigram,safe_candidate,Nondigram,high_similarity:0.889;margin:0.445,Nondigram,0.889,Adamdighi,0.444,Shariakandi,0.400
Rajshahi,Bogura,Sadar,safe_candidate,Bogra Sadar,unique_district_sadar,Bogra Sadar,0.667,Shajahanpur,0.500,Sonatala,0.462
Rajshahi,Bogura,Saria Kandi,safe_candidate,Shariakandi,high_similarity:0.952;margin:0.476,Shariakandi,0.952,Shajahanpur,0.476,Sonatala,0.444
Rajshahi,Bogura,Shibgonj,manual_review,,,Shibganj,0.875,Shariakandi,0.421,Sonatala,0.375
Rajshahi,Bogura,Sonatola,manual_review,,,Sonatala,0.875,Gabtali,0.400,Nondigram,0.353
Barisal,Barguna,Patharghata,safe_candidate,Pathorghata,high_similarity:0.909;margin:0.474,Pathorghata,0.909,Barguna Sadar,0.435,Amtali,0.353
Barisal,Barguna,Sadar,safe_candidate,Barguna Sadar,unique_district_sadar,Barguna Sadar,0.588,Bamna,0.400,Amtali,0.364
Barisal,Barisal,Agailjara,safe_candidate,Agailjhara,high_similarity:0.947;margin:0.315,Agailjhara,0.947,Banaripara,0.632,Babuganj,0.471
Barisal,Barisal,Babugonj,manual_review,,,Babuganj,0.875,Bakerganj,0.588,Bandar,0.429
Barisal,Barisal,Barjalia (Hijla),manual_review,,,Barisal Sadar,0.560,Hizla,0.444,Banaripara,0.435
Barisal,Barisal,Mehendigonj,safe_candidate,Mehendiganj,high_similarity:0.909;margin:0.509,Mehendiganj,0.909,Bakerganj,0.400,Muladi,0.353
Barisal,Barisal,Sadar,safe_candidate,Barisal Sadar,unique_district_sadar,Bandar,0.727,Barisal Sadar,0.588,Banaripara,0.400
Barisal,Barisal,Sahebgonj (Bakhergonj),manual_review,,,Bakerganj,0.571,Babuganj,0.370,Mehendiganj,0.333
Barisal,Barisal,Uzirpur,manual_review,,,Wazirpur,0.800,Airport,0.571,Kashipur,0.533
Khulna,Bagerhat,Chalna Anchorange,manual_review,,,Chitalmari,0.462,Bagerhat Sadar,0.345,Sarankhola,0.308
Khulna,Bagerhat,Mollarhat,safe_candidate,Mollahat,high_similarity:0.941;margin:0.353,Mollahat,0.941,Fakirhat,0.588,Mongla,0.533
Khulna,Bagerhat,Morelgonj,manual_review,,,Morrelganj,0.842,Mongla,0.400,Mollahat,0.353
Khulna,Bagerhat,Rayenda (Sharankhola),manual_review,,,Sarankhola,0.714,Rampal,0.333,Bagerhat Sadar,0.323
Khulna,Bagerhat,Sadar,safe_candidate,Bagerhat Sadar,unique_district_sadar,Bagerhat Sadar,0.556,Sarankhola,0.400,Chitalmari,0.400
Chattogram,Bandarban,Naikhangchari,safe_candidate,Naikhongchhari,high_similarity:0.889;margin:0.249,Naikhongchhari,0.889,Rowangchhari,0.640,Thanchi,0.600
Chattogram,Bandarban,Roangchari,safe_candidate,Rowangchhari,high_similarity:0.909;margin:0.242,Rowangchhari,0.909,Naikhongchhari,0.667,Thanchi,0.588
Chattogram,Bandarban,Sadar,safe_candidate,Bandarban Sadar,unique_district_sadar,Bandarban Sadar,0.526,Alikadam,0.462,Lama,0.444
Chattogram,Brahmanbaria,Quasba,manual_review,,,Kasba,0.727,Ashuganj,0.429,Nabinagar,0.400
Chattogram,Brahmanbaria,Sadar,safe_candidate,Brahmanbaria Sadar,unique_district_sadar,Sarail,0.545,Nasirnagar,0.533,Akhaura,0.500
