district_label_bn,division,district,source_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Demuday,Damudya,0.714,Bhedarganj,0.353,Shariatpur Sadar,0.273
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Jangira,Zajira,0.615,Naria,0.500,Gosairhat,0.500
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Bakshigonj,Nalitabari,0.300,Jhenaigati,0.300,Sreebordi,0.211
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Nakla,Nokla,0.800,Nalitabari,0.533,Jhenaigati,0.400
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Ashashuni,Assasuni,0.824,Shyamnagar,0.421,Kaliganj,0.353
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Kaligonj,Kaliganj,0.875,Kalaroa,0.533,Tala,0.333
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Kolaroa,Kalaroa,0.857,Kaliganj,0.400,Tala,0.364
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Dhangarha (Roygonj),Raigonj,0.435,Salanga,0.348,Ullapara,0.333
সিলেট পোস্ট কোড,Sylhet,Sylhet,Balagonj,Balaganj,0.875,Golapganj,0.588,Zakiganj,0.500
সিলেট পোস্ট কোড,Sylhet,Sylhet,Companigonj Nutun Bazar (Companigonj),Companiganj,0.465,Beanibazar,0.381,Osmaninagar,0.372
সিলেট পোস্ট কোড,Sylhet,Sylhet,Jakigonj,Zakiganj,0.750,Companiganj,0.526,Balaganj,0.500
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Dirai Chandpur (Dirai),Jagannathpur,0.400,Tahirpur,0.385,Derai,0.348
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Duara Bazar,Dowarabazar,0.857,Dharmapasha,0.571,Derai,0.400
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Ghunghiargaon (Sallah),South Sunamganj,0.424,Shalla,0.400,Dharmapasha,0.400
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Jaganhpur,Jagannathpur,0.857,Tahirpur,0.588,Jamalganj,0.556
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Sanchana (Jamalgonj),Jamalganj,0.615,Madhyanagar,0.429,Shalla,0.348
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Azmirigonj,Ajmiriganj,0.800,Nabiganj,0.556,Habiganj Sadar,0.435
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Kalauk,Lakhai,0.500,Madhabpur,0.400,Bahubal,0.308
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Nabigonj,Nabiganj,0.875,Habiganj Sadar,0.571,Ajmiriganj,0.556
