division,district,upazila,post_office,postal_code,source_url,source_district_label_bn,source_upazila,resolution_type
Dhaka,Dhaka,Kadamtali,Kodomtoli UPO,1362,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Kodomtoli,legacy_alias_explicit
Dhaka,Dhaka,Kadamtali,Matuail SO,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Kodomtoli,legacy_alias_explicit
Dhaka,Dhaka,Kadamtali,Merajnagar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Kodomtoli,legacy_alias_explicit
Dhaka,Dhaka,Kadamtali,Tushardhara,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Kodomtoli,legacy_alias_explicit
Dhaka,Dhaka,Kafrul,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Kalabagan,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Kamrangir Char,Ashrafabad,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Kamrangirchar,normalized
Dhaka,Dhaka,Kamrangir Char,Posta TSO,1211,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Kamrangirchar,normalized
Dhaka,Dhaka,Keraniganj,Abdullapur,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Ati,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Ati EDSO,1312,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Baghoir,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Baktarchar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Beuta,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Brahammankirti,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Dhaka Jute Mils SO,1311,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Doleshor,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Itavara,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Kalatia SO,1313,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
